date,open,high,low,close,adj_close,volume
"Mar 26, 2024","21,947.90","22,073.20","21,947.55","22,004.70","22,004.70",-
"Mar 22, 2024","21,932.20","22,180.70","21,883.30","22,096.75","22,096.75","388,700"
"Mar 21, 2024","21,989.90","22,080.95","21,941.30","22,011.95","22,011.95","353,200"
"Mar 20, 2024","21,843.90","21,930.90","21,710.20","21,839.10","21,839.10","312,400"
"Mar 19, 2024","21,946.45","21,978.30","21,793.10","21,817.45","21,817.45","344,200"
"Mar 18, 2024","21,990.10","22,123.70","21,916.55","22,055.70","22,055.70","356,300"
"Mar 15, 2024","22,064.85","22,120.90","21,931.70","22,023.35","22,023.35","661,500"
"Mar 14, 2024","21,982.55","22,204.60","21,917.50","22,146.65","22,146.65","426,700"
"Mar 13, 2024","22,432.20","22,446.75","21,905.65","21,997.70","21,997.70","493,300"
"Mar 12, 2024","22,334.45","22,452.55","22,256.00","22,335.70","22,335.70","299,200"
"Mar 11, 2024","22,517.50","22,526.60","22,307.25","22,332.65","22,332.65","277,900"
"Mar 07, 2024","22,505.30","22,525.65","22,430.00","22,493.55","22,493.55","379,900"
"Mar 06, 2024","22,327.50","22,497.20","22,224.35","22,474.05","22,474.05","312,300"
"Mar 05, 2024","22,371.25","22,416.90","22,269.15","22,356.30","22,356.30","296,200"
"Mar 04, 2024","22,403.50","22,440.90","22,358.30","22,405.60","22,405.60","298,800"
"Mar 01, 2024","22,048.30","22,353.30","22,047.75","22,338.75","22,338.75","351,500"
"Feb 29, 2024","21,935.20","22,060.55","21,860.65","21,982.80","21,982.80","360,200"
"Feb 28, 2024","22,214.10","22,229.15","21,915.85","21,951.15","21,951.15","203,000"
"Feb 27, 2024","22,090.20","22,218.25","22,085.65","22,198.35","22,198.35","252,200"
"Feb 26, 2024","22,169.20","22,202.15","22,075.15","22,122.05","22,122.05","207,800"
"Feb 23, 2024","22,290.00","22,297.50","22,186.10","22,212.70","22,212.70","226,000"
"Feb 22, 2024","22,081.55","22,252.50","21,875.25","22,217.45","22,217.45","343,500"
"Feb 21, 2024","22,248.85","22,249.40","21,997.95","22,055.05","22,055.05","364,500"
"Feb 20, 2024","22,099.20","22,215.60","22,045.85","22,196.95","22,196.95","295,700"
"Feb 19, 2024","22,103.45","22,186.65","22,021.05","22,122.25","22,122.25",-
"Feb 16, 2024","22,020.30","22,068.65","21,968.95","22,040.70","22,040.70","343,900"
"Feb 15, 2024","21,906.55","21,953.85","21,794.80","21,910.75","21,910.75","345,400"
"Feb 14, 2024","21,578.15","21,870.85","21,530.20","21,840.05","21,840.05","359,100"
"Feb 13, 2024","21,664.30","21,766.80","21,543.35","21,743.25","21,743.25","365,800"
"Feb 12, 2024","21,800.80","21,831.70","21,574.75","21,616.05","21,616.05","287,400"
"Feb 09, 2024","21,727.00","21,804.45","21,629.90","21,782.50","21,782.50","349,200"
"Feb 08, 2024","22,009.65","22,011.05","21,665.30","21,717.95","21,717.95","491,100"
"Feb 07, 2024","22,045.05","22,053.30","21,860.15","21,930.50","21,930.50","346,300"
"Feb 06, 2024","21,825.20","21,951.40","21,737.55","21,929.40","21,929.40","371,000"
"Feb 05, 2024","21,921.05","21,964.30","21,726.95","21,771.70","21,771.70","440,800"
"Feb 02, 2024","21,812.75","22,126.80","21,805.55","21,853.80","21,853.80","442,800"
"Feb 01, 2024","21,780.65","21,832.95","21,658.75","21,697.45","21,697.45","332,500"
"Jan 31, 2024","21,487.25","21,741.35","21,448.85","21,725.70","21,725.70","410,600"
"Jan 30, 2024","21,775.75","21,813.05","21,501.80","21,522.10","21,522.10","375,100"
"Jan 29, 2024","21,433.10","21,763.25","21,429.60","21,737.60","21,737.60","376,700"
"Jan 25, 2024","21,454.60","21,459.00","21,247.05","21,352.60","21,352.60","418,100"
"Jan 24, 2024","21,185.25","21,482.35","21,137.20","21,453.95","21,453.95","407,500"
"Jan 23, 2024","21,716.70","21,750.25","21,192.60","21,238.80","21,238.80","449,700"
"Jan 19, 2024","21,615.20","21,670.60","21,575.00","21,622.40","21,622.40","343,100"
"Jan 18, 2024","21,414.20","21,539.40","21,285.55","21,462.25","21,462.25","387,300"
"Jan 17, 2024","21,647.25","21,851.50","21,550.45","21,571.95","21,571.95","456,000"
"Jan 16, 2024","22,080.50","22,124.15","21,969.80","22,032.30","22,032.30","292,400"
"Jan 15, 2024","22,053.15","22,115.55","21,963.55","22,097.45","22,097.45","345,500"
"Jan 12, 2024","21,773.55","21,928.25","21,715.15","21,894.55","21,894.55","294,700"
"Jan 11, 2024","21,688.00","21,726.50","21,593.75","21,647.20","21,647.20","212,500"
"Jan 10, 2024","21,529.30","21,641.85","21,448.65","21,618.70","21,618.70","217,000"
"Jan 09, 2024","21,653.60","21,724.45","21,517.85","21,544.85","21,544.85","228,600"
"Jan 08, 2024","21,747.60","21,763.95","21,492.90","21,513.00","21,513.00","231,500"
"Jan 05, 2024","21,705.75","21,749.60","21,629.20","21,710.80","21,710.80","309,300"
"Jan 04, 2024","21,605.80","21,685.65","21,564.55","21,658.60","21,658.60","339,200"
"Jan 03, 2024","21,661.10","21,677.00","21,500.35","21,517.35","21,517.35","311,900"
"Jan 02, 2024","21,751.35","21,755.60","21,555.65","21,665.80","21,665.80","263,700"
"Jan 01, 2024","21,727.75","21,834.35","21,680.85","21,741.90","21,741.90","154,000"
"Dec 29, 2023","21,737.65","21,770.30","21,676.90","21,731.40","21,731.40","270,900"
"Dec 28, 2023","21,715.00","21,801.45","21,678.00","21,778.70","21,778.70","393,100"
"Dec 27, 2023","21,497.65","21,675.75","21,495.80","21,654.75","21,654.75","256,500"
"Dec 26, 2023","21,365.20","21,477.15","21,329.45","21,441.35","21,441.35","219,500"
"Dec 22, 2023","21,295.85","21,390.50","21,232.45","21,349.40","21,349.40","284,700"
"Dec 21, 2023","21,033.95","21,288.35","20,976.80","21,255.05","21,255.05","277,500"
"Dec 20, 2023","21,543.50","21,593.00","21,087.35","21,150.15","21,150.15","363,900"
"Dec 19, 2023","21,477.65","21,505.05","21,337.75","21,453.10","21,453.10","249,800"
"Dec 18, 2023","21,434.80","21,482.80","21,365.35","21,418.65","21,418.65","249,700"
"Dec 15, 2023","21,287.45","21,492.30","21,235.30","21,456.65","21,456.65","508,800"
"Dec 14, 2023","21,110.40","21,210.90","21,074.45","21,182.70","21,182.70","334,400"
"Dec 13, 2023","20,929.75","20,950.00","20,769.50","20,926.35","20,926.35","260,300"
"Dec 12, 2023","21,018.55","21,037.90","20,867.15","20,906.40","20,906.40","244,900"
"Dec 11, 2023","20,965.30","21,026.10","20,923.70","20,997.10","20,997.10","212,900"
"Dec 08, 2023","20,934.10","21,006.10","20,862.70","20,969.40","20,969.40","292,400"
"Dec 07, 2023","20,932.40","20,941.25","20,850.80","20,901.15","20,901.15","275,000"
"Dec 06, 2023","20,950.75","20,961.95","20,852.15","20,937.70","20,937.70","359,200"
"Dec 05, 2023","20,808.90","20,864.05","20,711.15","20,855.10","20,855.10","421,000"
"Dec 04, 2023","20,601.95","20,702.65","20,507.75","20,686.80","20,686.80","381,100"
"Dec 01, 2023","20,194.10","20,291.55","20,183.70","20,267.90","20,267.90","265,800"
"Nov 30, 2023","20,108.50","20,158.70","20,015.85","20,133.15","20,133.15","486,600"
"Nov 29, 2023","19,976.55","20,104.65","19,956.30","20,096.60","20,096.60","236,200"
"Nov 28, 2023","19,844.65","19,916.85","19,800.00","19,889.70","19,889.70","229,600"
"Nov 24, 2023","19,809.60","19,832.85","19,768.85","19,794.70","19,794.70","145,900"
"Nov 23, 2023","19,828.45","19,875.15","19,786.75","19,802.00","19,802.00","170,000"
"Nov 22, 2023","19,784.00","19,825.55","19,703.85","19,811.85","19,811.85","184,500"
"Nov 21, 2023","19,770.90","19,829.10","19,754.05","19,783.40","19,783.40","195,000"
"Nov 20, 2023","19,731.15","19,756.45","19,670.50","19,694.00","19,694.00","173,800"
"Nov 17, 2023","19,674.75","19,806.00","19,667.45","19,731.80","19,731.80","236,800"
"Nov 16, 2023","19,674.70","19,875.25","19,627.00","19,765.20","19,765.20","282,700"
"Nov 15, 2023","19,651.40","19,693.20","19,579.65","19,675.45","19,675.45","291,500"
"Nov 13, 2023","19,486.75","19,494.40","19,414.75","19,443.55","19,443.55","189,300"
"Nov 10, 2023","19,351.85","19,451.30","19,329.45","19,425.35","19,425.35","152,200"
"Nov 09, 2023","19,457.40","19,463.90","19,378.35","19,395.30","19,395.30","208,400"
"Nov 08, 2023","19,449.60","19,464.40","19,401.50","19,443.50","19,443.50","195,000"
"Nov 07, 2023","19,404.05","19,423.50","19,329.10","19,406.70","19,406.70","198,700"
"Nov 06, 2023","19,345.85","19,423.00","19,309.70","19,411.75","19,411.75","180,700"
"Nov 03, 2023","19,241.00","19,276.25","19,210.90","19,230.60","19,230.60","189,500"
"Nov 02, 2023","19,120.00","19,175.25","19,064.15","19,133.25","19,133.25","245,600"
"Nov 01, 2023","19,064.05","19,096.05","18,973.70","18,989.15","18,989.15","194,100"
"Oct 31, 2023","19,232.95","19,233.70","19,056.45","19,079.60","19,079.60","206,000"
"Oct 30, 2023","19,053.40","19,158.50","18,940.00","19,140.90","19,140.90","180,100"
"Oct 27, 2023","18,928.75","19,076.15","18,926.65","19,047.25","19,047.25","205,200"
